Symbol,Cap (in million)
ERII,331
SSYS,1129
VRTU,1177
CSIQ,951
FIT,974
PKE,359
ACLS,618
OMCL,1846
TTD,1269
DIOD,1293
BNFT,882
MSTR,1199
CEVA,873
FIVN,1098
HIMX,1413
LPSN,756
MTLS,600
MXL,1358
PRGS,1567
MX,371
GIMO,1468
CTS,722
MGRC,926
ACIA,1722
MOBL,367
POWI,1996
ATEN,447
SMCI,1309
SNCR,764
MITL,976
SFUN,1485
MIME,1570
VRNS,1034
LTRPA,836
CAI,545
MITK,332
KFY,1828
CUDA,1234
MDCA,580
FORM,984
KEYW,374
BHE,1556
CRAY,760
SONS,340
CALD,1592
FORTY,525
CHUBK,564
TRUE,1518
IMPV,1491
EXTR,1162
PRO,825
AOSL,355
PLUS,1143
EXTN,866
AYR,1721
KAI,928
BRKS,1700
ALRM,1954
ACTA,421
HDP,999
FLOW,1352
UCTT,758
PSTG,1172
CSOD,1968
TBI,739
ACXM,1780
ATU,1390
CMCM,1586
JKS,833
TTEC,1852
LORL,953
IPHI,1489
APPF,529
CARB,529
CLS,1652
KE,497
HSTM,740
CAMP,636
TWLO,1871
RPD,731
TGH,866
BSFT,1364
CYBR,1392
SPWR,1267
TTMI,1314
WK,608
RMBS,1385
MTCH,974
SIMO,1513
GLOB,1467
PSDO,1200
RCII,659
IIJI,832
HQCL,610
SYNA,1402
RATE,1235
SYNT,1568
SSNI,675
TCX,554
IXYS,518
CCMP,1696
MGIC,355
APTI,363
CSGS,1298
PDFS,487
DDD,1433
KFRC,442
QADA,490
INAP,364
SCSC,946
OCLR,1390
MB,958
CCRN,453
SPSC,1008
TYPE,718
LXFT,1056
VDSI,486
INST,915
PLXS,1680
QTWO,1506
NSP,1681
AMBA,1697
MODN,388
VECO,912
SEDG,1121
TLND,1121
SWIR,702
ZPIN,1034
BOX,1493
NTNX,1753
CPSI,400
BV,379
SXI,1186
PRFT,618
UIS,398
QTNA,555
HSII,339
EPAY,1170
DMRC,301
SYKE,1108
COUP,1551
INOV,823
EBIX,1795
GLUU,412
OSIS,1472
AAOI,1225
AMN,1805
KLIC,1323
EFII,1533
UPLD,475
WEB,1090
VNET,493
QLYS,1673
SILC,380
ICHR,478
EVTC,1335
NH,373
MCRN,1056
LSCC,726
NQ,363
RENN,502
BCOR,1024
GDS,888
SPXC,1043
SSTK,1166
CMTL,450
SPNS,534
BBSI,383
EIGI,1073
QSII,994
TNC,1126
PLAB,533
KELYA,741
NVEC,355
